Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Dauer bis Druckstabilitaet_s;response
0,000;959,11000;10,0;0.0;;0, 9,5911E+02,2, 1,3652E+00,5, 1,0000E+03
1,001;959,11000;10,0;0.0;;0, 9,5911E+02,2, 1,3652E+00,5, 1,0000E+03
2,001;959,12000;10,0;0.0;;0, 9,5912E+02,2, 1,3652E+00,5, 1,0000E+03
3,003;958,96000;10,0;0.0;;0, 9,5896E+02,2, 1,3652E+00,5, 1,0000E+03
4,005;944,85000;10,0;0.0;;0, 9,4485E+02,2, 1,3652E+00,5, 1,0000E+03
5,009;707,87000;10,0;0.0;;0, 7,0787E+02,2, 1,3652E+00,5, 1,0000E+03
6,009;594,49000;10,0;0.0;;0, 5,9449E+02,2, 1,3652E+00,5, 1,0000E+03
7,010;518,39000;10,0;0.0;;0, 5,1839E+02,2, 1,3652E+00,5, 1,0000E+03
8,019;461,22000;10,0;0.0;;0, 4,6122E+02,2, 1,3652E+00,5, 1,0000E+03
9,029;417,31000;10,0;0.0;;0, 4,1731E+02,2, 1,3652E+00,5, 1,0000E+03
10,039;383,72000;5,50;6,94;;0, 3,8372E+02,2, 1,3652E+00,5, 1,0000E+03
11,042;357,53000;5,85;6,94;;0, 3,5753E+02,2, 1,3652E+00,5, 1,0000E+03
12,044;336,95000;6,12;6,95;;0, 3,3695E+02,2, 1,3652E+00,5, 1,0000E+03
13,050;320,81000;6,34;6,95;;0, 3,2081E+02,2, 1,3652E+00,5, 1,0000E+03
14,060;308,57000;6,50;6,95;;0, 3,0857E+02,2, 1,3652E+00,5, 1,0000E+03
15,069;299,06000;6,62;6,96;;0, 2,9906E+02,2, 1,3652E+00,5, 1,0000E+03
16,074;291,59000;6,72;6,96;;0, 2,9159E+02,2, 1,3652E+00,5, 1,0000E+03
17,078;286,23000;6,79;6,96;;0, 2,8623E+02,2, 1,3652E+00,5, 1,0000E+03
18,088;282,06000;6,85;6,96;;0, 2,8206E+02,2, 1,3652E+00,5, 1,0000E+03
19,098;278,91000;6,89;6,96;;0, 2,7891E+02,2, 1,3652E+00,5, 1,0000E+03
20,102;276,40000;6,92;6,96;;0, 2,7640E+02,2, 1,3652E+00,5, 1,0000E+03
21,106;274,80000;6,94;6,96;;0, 2,7480E+02,2, 1,3652E+00,5, 1,0000E+03
22,106;273,32000;6,96;6,96;;0, 2,7332E+02,2, 1,3652E+00,5, 1,0000E+03
23,110;271,90000;6,98;6,96;;0, 2,7190E+02,2, 1,3652E+00,5, 1,0000E+03
24,110;270,72000;7,00;6,96;;0, 2,7072E+02,2, 1,3652E+00,5, 1,0000E+03
25,113;269,71000;7,01;6,96;;0, 2,6971E+02,2, 1,3652E+00,5, 1,0000E+03
26,118;268,94000;7,02;6,96;;0, 2,6894E+02,2, 1,3652E+00,5, 1,0000E+03
27,125;268,31000;7,03;6,96;;0, 2,6831E+02,2, 1,3652E+00,5, 1,0000E+03
28,131;267,82000;7,04;6,96;;0, 2,6782E+02,2, 1,3652E+00,5, 1,0000E+03
29,137;267,42000;7,04;6,96;;0, 2,6742E+02,2, 1,3652E+00,5, 1,0000E+03
30,142;267,08000;7,05;6,96;;0, 2,6708E+02,2, 1,3652E+00,5, 1,0000E+03
31,152;266,81000;7,05;6,96;;0, 2,6681E+02,2, 1,3652E+00,5, 1,0000E+03
32,154;266,59000;7,05;6,96;;0, 2,6659E+02,2, 1,3652E+00,5, 1,0000E+03
33,160;266,44000;7,06;6,96;;0, 2,6644E+02,2, 1,3652E+00,5, 1,0000E+03
34,165;266,60000;7,05;6,96;;0, 2,6660E+02,2, 1,3652E+00,5, 1,0000E+03
35,175;266,87000;7,05;6,96;;0, 2,6687E+02,2, 1,3652E+00,5, 1,0000E+03
36,178;267,14000;7,05;6,96;;0, 2,6714E+02,2, 1,3652E+00,5, 1,0000E+03
37,179;267,37000;7,04;6,96;;0, 2,6737E+02,2, 1,3652E+00,5, 1,0000E+03
38,182;267,52000;7,04;6,96;;0, 2,6752E+02,2, 1,3652E+00,5, 1,0000E+03
39,184;267,64000;7,04;6,96;;0, 2,6764E+02,2, 1,3652E+00,5, 1,0000E+03
40,186;267,68000;7,04;6,96;;0, 2,6768E+02,2, 1,3652E+00,5, 1,0000E+03
41,187;267,69000;7,04;6,96;;0, 2,6769E+02,2, 1,3652E+00,5, 1,0000E+03
42,192;267,73000;7,04;6,96;;0, 2,6773E+02,2, 1,3652E+00,5, 1,0000E+03
43,202;267,73000;7,04;6,96;;0, 2,6773E+02,2, 1,3652E+00,5, 1,0000E+03
44,209;267,73000;7,04;6,96;;0, 2,6773E+02,2, 1,3652E+00,5, 1,0000E+03
45,216;267,73000;7,04;6,96;;0, 2,6773E+02,2, 1,3652E+00,5, 1,0000E+03
46,222;267,73000;7,04;6,96;;0, 2,6773E+02,2, 1,3652E+00,5, 1,0000E+03
47,229;267,70000;7,04;6,96;;0, 2,6770E+02,2, 1,3652E+00,5, 1,0000E+03
48,232;267,69000;7,04;6,96;;0, 2,6769E+02,2, 1,3652E+00,5, 1,0000E+03
49,232;267,69000;7,04;6,96;;0, 2,6769E+02,2, 1,3652E+00,5, 1,0000E+03
50,234;267,68000;7,04;6,96;;0, 2,6768E+02,2, 1,3652E+00,5, 1,0000E+03
51,241;267,69000;7,04;6,96;;0, 2,6769E+02,2, 1,3652E+00,5, 1,0000E+03
52,241;267,69000;7,04;6,96;;0, 2,6769E+02,2, 1,3652E+00,5, 1,0000E+03
53,242;267,69000;7,04;6,96;;0, 2,6769E+02,2, 1,3652E+00,5, 1,0000E+03
54,246;267,65000;7,04;6,96;;0, 2,6765E+02,2, 1,3652E+00,5, 1,0000E+03
55,255;267,65000;7,04;6,96;;0, 2,6765E+02,2, 1,3652E+00,5, 1,0000E+03
56,255;267,62000;7,04;6,96;;0, 2,6762E+02,2, 1,3652E+00,5, 1,0000E+03
57,262;267,61000;7,04;6,96;;0, 2,6761E+02,2, 1,3652E+00,5, 1,0000E+03
58,266;267,60000;7,04;6,96;;0, 2,6760E+02,2, 1,3652E+00,5, 1,0000E+03
59,273;267,57000;7,04;6,96;;0, 2,6757E+02,2, 1,3652E+00,5, 1,0000E+03
60,280;267,56000;7,04;6,96;;0, 2,6756E+02,2, 1,3652E+00,5, 1,0000E+03
61,285;267,54000;7,04;6,96;;0, 2,6754E+02,2, 1,3652E+00,5, 1,0000E+03
62,286;267,52000;7,04;6,96;;0, 2,6752E+02,2, 1,3652E+00,5, 1,0000E+03
63,295;267,52000;7,04;6,96;;0, 2,6752E+02,2, 1,3652E+00,5, 1,0000E+03
64,301;267,48000;7,04;6,96;;0, 2,6748E+02,2, 1,3652E+00,5, 1,0000E+03
65,309;267,48000;7,04;6,96;;0, 2,6748E+02,2, 1,3652E+00,5, 1,0000E+03
66,313;267,45000;7,04;6,96;;0, 2,6745E+02,2, 1,3652E+00,5, 1,0000E+03
67,314;267,43000;7,04;6,96;;0, 2,6743E+02,2, 1,3652E+00,5, 1,0000E+03
68,320;267,39000;7,04;6,96;;0, 2,6739E+02,2, 1,3652E+00,5, 1,0000E+03
69,324;267,39000;7,04;6,96;;0, 2,6739E+02,2, 1,3652E+00,5, 1,0000E+03
70,332;267,39000;7,04;6,96;;0, 2,6739E+02,2, 1,3652E+00,5, 1,0000E+03
71,338;267,38000;7,04;6,96;;0, 2,6738E+02,2, 1,3652E+00,5, 1,0000E+03
72,348;267,35000;7,04;6,96;;0, 2,6735E+02,2, 1,3652E+00,5, 1,0000E+03
73,349;267,35000;7,04;6,96;;0, 2,6735E+02,2, 1,3652E+00,5, 1,0000E+03
74,358;267,31000;7,04;6,96;;0, 2,6731E+02,2, 1,3652E+00,5, 1,0000E+03
75,359;267,30000;7,04;6,96;;0, 2,6730E+02,2, 1,3652E+00,5, 1,0000E+03
76,362;267,30000;7,04;6,96;;0, 2,6730E+02,2, 1,3652E+00,5, 1,0000E+03
77,365;267,27000;7,04;6,96;;0, 2,6727E+02,2, 1,3652E+00,5, 1,0000E+03
78,372;267,28000;7,04;6,96;;0, 2,6728E+02,2, 1,3652E+00,5, 1,0000E+03
79,378;267,30000;7,04;6,96;;0, 2,6730E+02,2, 1,3652E+00,5, 1,0000E+03
80,387;267,29000;7,04;6,96;;0, 2,6729E+02,2, 1,3652E+00,5, 1,0000E+03
81,390;267,30000;7,04;6,96;;0, 2,6730E+02,2, 1,3652E+00,5, 1,0000E+03
82,394;267,29000;7,04;6,96;;0, 2,6729E+02,2, 1,3652E+00,5, 1,0000E+03
83,399;267,26000;7,04;6,96;;0, 2,6726E+02,2, 1,3652E+00,5, 1,0000E+03
84,400;267,26000;7,04;6,96;;0, 2,6726E+02,2, 1,3652E+00,5, 1,0000E+03
85,400;267,26000;7,04;6,96;;0, 2,6726E+02,2, 1,3652E+00,5, 1,0000E+03
86,408;267,26000;7,04;6,96;;0, 2,6726E+02,2, 1,3652E+00,5, 1,0000E+03
87,416;267,26000;7,04;6,96;;0, 2,6726E+02,2, 1,3652E+00,5, 1,0000E+03
88,419;267,26000;7,04;6,96;;0, 2,6726E+02,2, 1,3652E+00,5, 1,0000E+03
89,420;267,26000;7,04;6,96;;0, 2,6726E+02,2, 1,3652E+00,5, 1,0000E+03
90,420;267,30000;7,04;6,96;;0, 2,6730E+02,2, 1,3652E+00,5, 1,0000E+03
91,422;267,28000;7,04;6,96;;0, 2,6728E+02,2, 1,3652E+00,5, 1,0000E+03
92,431;267,26000;7,04;6,96;;0, 2,6726E+02,2, 1,3652E+00,5, 1,0000E+03
93,436;267,26000;7,04;6,96;;0, 2,6726E+02,2, 1,3652E+00,5, 1,0000E+03
94,446;267,22000;7,05;6,96;;0, 2,6722E+02,2, 1,3652E+00,5, 1,0000E+03
95,446;267,22000;7,05;6,96;;0, 2,6722E+02,2, 1,3652E+00,5, 1,0000E+03
96,447;267,20000;7,05;6,96;;0, 2,6720E+02,2, 1,3652E+00,5, 1,0000E+03
97,449;267,18000;7,05;6,96;;0, 2,6718E+02,2, 1,3652E+00,5, 1,0000E+03
98,450;267,15000;7,05;6,96;;0, 2,6715E+02,2, 1,3652E+00,5, 1,0000E+03
99,453;267,16000;7,05;6,96;;0, 2,6716E+02,2, 1,3652E+00,5, 1,0000E+03
100,461;267,17000;7,05;6,96;;0, 2,6717E+02,2, 1,3652E+00,5, 1,0000E+03
101,469;267,18000;7,05;6,96;;0, 2,6718E+02,2, 1,3652E+00,5, 1,0000E+03
102,476;267,17000;7,05;6,96;;0, 2,6717E+02,2, 1,3652E+00,5, 1,0000E+03
103,480;267,17000;7,05;6,96;;0, 2,6717E+02,2, 1,3652E+00,5, 1,0000E+03
104,484;267,18000;7,05;6,96;;0, 2,6718E+02,2, 1,3652E+00,5, 1,0000E+03
105,488;267,17000;7,05;6,96;;0, 2,6717E+02,2, 1,3652E+00,5, 1,0000E+03
106,491;267,18000;7,05;6,96;;0, 2,6718E+02,2, 1,3652E+00,5, 1,0000E+03
107,492;267,17000;7,05;6,96;;0, 2,6717E+02,2, 1,3652E+00,5, 1,0000E+03
108,496;267,18000;7,05;6,96;;0, 2,6718E+02,2, 1,3652E+00,5, 1,0000E+03
109,497;267,18000;7,05;6,96;;0, 2,6718E+02,2, 1,3652E+00,5, 1,0000E+03
110,497;267,19000;7,05;6,96;;0, 2,6719E+02,2, 1,3652E+00,5, 1,0000E+03
111,498;267,22000;7,05;6,96;;0, 2,6722E+02,2, 1,3652E+00,5, 1,0000E+03
112,501;267,22000;7,05;6,96;;0, 2,6722E+02,2, 1,3652E+00,5, 1,0000E+03
113,511;267,17000;7,05;6,96;;0, 2,6717E+02,2, 1,3652E+00,5, 1,0000E+03
114,520;267,17000;7,05;6,96;;0, 2,6717E+02,2, 1,3652E+00,5, 1,0000E+03
115,522;267,14000;7,05;6,96;;0, 2,6714E+02,2, 1,3652E+00,5, 1,0000E+03
116,524;267,13000;7,05;6,96;;0, 2,6713E+02,2, 1,3652E+00,5, 1,0000E+03
117,527;267,12000;7,05;6,96;;0, 2,6712E+02,2, 1,3652E+00,5, 1,0000E+03
118,530;267,10000;7,05;6,96;;0, 2,6710E+02,2, 1,3652E+00,5, 1,0000E+03
119,538;267,09000;7,05;6,96;;0, 2,6709E+02,2, 1,3652E+00,5, 1,0000E+03
120,546;267,09000;7,05;6,96;;0, 2,6709E+02,2, 1,3652E+00,5, 1,0000E+03
121,547;267,07000;7,05;6,96;;0, 2,6707E+02,2, 1,3652E+00,5, 1,0000E+03
122,556;267,05000;7,05;6,96;;0, 2,6705E+02,2, 1,3652E+00,5, 1,0000E+03
123,559;267,05000;7,05;6,96;;0, 2,6705E+02,2, 1,3652E+00,5, 1,0000E+03
124,560;267,05000;7,05;6,96;;0, 2,6705E+02,2, 1,3652E+00,5, 1,0000E+03
125,561;267,04000;7,05;6,96;;0, 2,6704E+02,2, 1,3652E+00,5, 1,0000E+03
126,568;267,04000;7,05;6,96;;0, 2,6704E+02,2, 1,3652E+00,5, 1,0000E+03
127,568;267,05000;7,05;6,96;;0, 2,6705E+02,2, 1,3652E+00,5, 1,0000E+03
128,568;267,04000;7,05;6,96;;0, 2,6704E+02,2, 1,3652E+00,5, 1,0000E+03
129,569;267,05000;7,05;6,96;;0, 2,6705E+02,2, 1,3652E+00,5, 1,0000E+03
130,578;267,05000;7,05;6,96;;0, 2,6705E+02,2, 1,3652E+00,5, 1,0000E+03
131,583;267,05000;7,05;6,96;;0, 2,6705E+02,2, 1,3652E+00,5, 1,0000E+03
132,591;267,04000;7,05;6,96;;0, 2,6704E+02,2, 1,3652E+00,5, 1,0000E+03
133,600;267,05000;7,05;6,96;;0, 2,6705E+02,2, 1,3652E+00,5, 1,0000E+03
134,605;267,05000;7,05;6,96;;0, 2,6705E+02,2, 1,3652E+00,5, 1,0000E+03
135,606;267,05000;7,05;6,96;;0, 2,6705E+02,2, 1,3652E+00,5, 1,0000E+03
136,606;267,06000;7,05;6,96;;0, 2,6706E+02,2, 1,3652E+00,5, 1,0000E+03
137,611;267,07000;7,05;6,96;;0, 2,6707E+02,2, 1,3652E+00,5, 1,0000E+03
138,614;267,08000;7,05;6,96;;0, 2,6708E+02,2, 1,3652E+00,5, 1,0000E+03
139,620;267,09000;7,05;6,96;;0, 2,6709E+02,2, 1,3652E+00,5, 1,0000E+03
140,628;267,06000;7,05;6,96;;0, 2,6706E+02,2, 1,3652E+00,5, 1,0000E+03
141,638;267,05000;7,05;6,96;;0, 2,6705E+02,2, 1,3652E+00,5, 1,0000E+03
142,638;267,07000;7,05;6,96;;0, 2,6707E+02,2, 1,3652E+00,5, 1,0000E+03
143,641;267,09000;7,05;6,96;;0, 2,6709E+02,2, 1,3652E+00,5, 1,0000E+03
144,647;267,09000;7,05;6,96;;0, 2,6709E+02,2, 1,3652E+00,5, 1,0000E+03
145,649;267,10000;7,05;6,96;;0, 2,6710E+02,2, 1,3652E+00,5, 1,0000E+03
146,650;267,09000;7,05;6,96;;0, 2,6709E+02,2, 1,3652E+00,5, 1,0000E+03
147,652;267,09000;7,05;6,96;;0, 2,6709E+02,2, 1,3652E+00,5, 1,0000E+03
148,652;267,09000;7,05;6,96;;0, 2,6709E+02,2, 1,3652E+00,5, 1,0000E+03
149,656;267,08000;7,05;6,96;;0, 2,6708E+02,2, 1,3652E+00,5, 1,0000E+03
150,656;267,05000;7,05;6,96;;0, 2,6705E+02,2, 1,3652E+00,5, 1,0000E+03
151,660;267,05000;7,05;6,96;;0, 2,6705E+02,2, 1,3652E+00,5, 1,0000E+03
152,664;267,05000;7,05;6,96;;0, 2,6705E+02,2, 1,3652E+00,5, 1,0000E+03
153,669;267,04000;7,05;6,96;;0, 2,6704E+02,2, 1,3652E+00,5, 1,0000E+03
154,670;267,05000;7,05;6,96;;0, 2,6705E+02,2, 1,3652E+00,5, 1,0000E+03
155,674;267,05000;7,05;6,96;;0, 2,6705E+02,2, 1,3652E+00,5, 1,0000E+03
156,681;267,04000;7,05;6,96;;0, 2,6704E+02,2, 1,3652E+00,5, 1,0000E+03
157,686;267,09000;7,05;6,96;;0, 2,6709E+02,2, 1,3652E+00,5, 1,0000E+03
158,687;267,09000;7,05;6,96;;0, 2,6709E+02,2, 1,3652E+00,5, 1,0000E+03
159,696;267,09000;7,05;6,96;;0, 2,6709E+02,2, 1,3652E+00,5, 1,0000E+03
160,707;267,09000;7,05;6,96;;0, 2,6709E+02,2, 1,3652E+00,5, 1,0000E+03
161,714;267,08000;7,05;6,96;;0, 2,6708E+02,2, 1,3652E+00,5, 1,0000E+03
162,719;267,09000;7,05;6,96;;0, 2,6709E+02,2, 1,3652E+00,5, 1,0000E+03
163,724;267,09000;7,05;6,96;;0, 2,6709E+02,2, 1,3652E+00,5, 1,0000E+03
164,728;267,09000;7,05;6,96;;0, 2,6709E+02,2, 1,3652E+00,5, 1,0000E+03
165,733;267,09000;7,05;6,96;;0, 2,6709E+02,2, 1,3652E+00,5, 1,0000E+03
166,737;267,09000;7,05;6,96;;0, 2,6709E+02,2, 1,3652E+00,5, 1,0000E+03
167,740;267,08000;7,05;6,96;;0, 2,6708E+02,2, 1,3652E+00,5, 1,0000E+03
168,748;267,13000;7,05;6,96;;0, 2,6713E+02,2, 1,3652E+00,5, 1,0000E+03
169,757;267,13000;7,05;6,96;;0, 2,6713E+02,2, 1,3652E+00,5, 1,0000E+03
170,759;267,13000;7,05;6,96;;0, 2,6713E+02,2, 1,3652E+00,5, 1,0000E+03
171,761;267,13000;7,05;6,96;;0, 2,6713E+02,2, 1,3652E+00,5, 1,0000E+03
172,769;267,13000;7,05;6,96;;0, 2,6713E+02,2, 1,3652E+00,5, 1,0000E+03
173,774;267,13000;7,05;6,96;;0, 2,6713E+02,2, 1,3652E+00,5, 1,0000E+03
174,775;267,13000;7,05;6,96;;0, 2,6713E+02,2, 1,3652E+00,5, 1,0000E+03
175,776;267,12000;7,05;6,96;;0, 2,6712E+02,2, 1,3652E+00,5, 1,0000E+03
176,785;267,13000;7,05;6,96;;0, 2,6713E+02,2, 1,3652E+00,5, 1,0000E+03
177,789;267,14000;7,05;6,96;;0, 2,6714E+02,2, 1,3652E+00,5, 1,0000E+03
178,790;267,13000;7,05;6,96;;0, 2,6713E+02,2, 1,3652E+00,5, 1,0000E+03
